"bog","plantX","plantY"
"CHI",8838,9650
"CHI",8919,4486
"CHI",8996,8250
"CHI",9124,9899
"CHI",9260,2991
"CHI",9269,1309
"CHI",9721,10136
"CHI",9811,9341
"CHI",9960,2672
"CHI",10126,6168
"CHI",10136,3733
"CHI",10181,2187
"CHI",10184,1377
"CHI",10200,5010
"CHI",10280,7005
"CHI",10315,8127
"CMF",400,8021
"CMF",511,5670
"CMF",798,1147
"CMF",808,2055
"CMF",967,9479
"CMF",1000,4090
"CMF",1000,5000
"CMF",1028,6904
"CMF",1547,2779
"CMF",1698,614
"CMF",1726,3854
"CMF",1866,4895
"CMF",2056,3223
"CMF",2079,1986
"CMF",2096,7115
"CMF",2248,6557
"CMF",2453,10080
"CMF",2473,8319
"CMF",2748,7197
"CMF",2845,8524
"CMF",2915,4136
"CMF",2921,9938
"CMF",2971,4884
"CMF",2983,1902
"CMF",3165,8129
"CMF",3190,718
"CMF",3207,2534
"CMF",3341,6469
"CMF",3660,4915
"CMF",3698,2708
"CMF",3766,8865
"CMF",3862,4220
"CMF",3891,7699
"CMF",3895,5866
"CMF",4098,1540
"CMF",4268,791
"CMF",4324,7158
"CMF",4490,10141
"CMF",4671,8146
"CMF",4724,6671
"CMF",4728,8443
"CMF",4770,4930
"CMF",4772,2292
"CMF",4853,3774
"CMF",4967,9813
"CMF",5082,774
"CMF",5160,5723
"CMF",5178,2871
"CMF",5582,3956
"CMF",5707,6310
"CMF",5892,7947
"CMF",5897,5806
"CMF",5914,1797
"CMF",5959,8972
"CMF",6014,2600
"CMF",6021,400
"CMF",6043,5246
"CMF",6480,2700
"CMF",6511,3618
"CMF",6865,7961
"CMF",7000,4620
"CMF",7035,1659
"CMF",7165,1726
"CMF",7180,5987
"CMF",7309,7662
"CMF",7751,2468
"CMF",7983,4011
"CMF",8014,1270
"CMF",8190,5062
"CMF",8296,4457
"CMF",8331,10320
"CMF",8632,8278
"CMF",8729,2510
"CMF",8809,9187
"CMF",8920,7911
"CMF",8934,5374
"CMF",9090,3193
"CMF",9096,1115
"CMF",9157,2087
"CMF",9355,10568
"CMF",9662,1850
"CMF",10000,1000
"CMF",10000,8000
